index	theme	name	width	height	offset	datalen	format
0	G	POWERON0	320	170	0x6930	108800	rgb565
1	G	POWERON1	320	170	0x21230	108800	rgb565
2	G	Z_POWERON0	320	170	0x3bb30	108800	rgb565
3	G	Z_POWERON1	320	170	0x56430	108800	rgb565
4	G	Z_POWERON2	320	170	0x70d30	108800	rgb565
5	G	Z_POWERON3	320	170	0x8b630	108800	rgb565
6	G	Z_POWERON4	320	170	0xa5f30	108800	rgb565
7	G	Z_POWERON5	320	170	0xc0830	108800	rgb565
8	G	Z_POWERON6	320	170	0xdb130	108800	rgb565
9	G	Z_POWERON7	320	170	0xf5a30	108800	rgb565
10	G	Z_POWERON8	320	170	0x110330	108800	rgb565
11	G	Z_POWERON9	320	170	0x12ac30	108800	rgb565
12	G	Z_POWERON10	320	170	0x145530	108800	rgb565
13	G	Z_POWERON11	320	170	0x15fe30	108800	rgb565
14	G	Z_POWERON12	320	170	0x17a730	108800	rgb565
15	G	Z_POWERON13	320	170	0x195030	108800	rgb565
16	G	Z_POWERON14	320	170	0x1af930	108800	rgb565
17	G	Z_POWERON15	320	170	0x1ca230	108800	rgb565
18	G	Z_POWERON16	320	170	0x1e4b30	108800	rgb565
19	G	Z_POWERON17	320	170	0x1ff430	108800	rgb565
20	G	Z_POWERON18	320	170	0x219d30	108800	rgb565
21	G	Z_POWERON19	320	170	0x234630	108800	rgb565
22	G	Z_POWERON20	320	170	0x24ef30	108800	rgb565
23	G	Z_POWERON21	320	170	0x269830	108800	rgb565
24	G	Z_POWERON22	320	170	0x284130	108800	rgb565
25	G	Z_POWERON23	320	170	0x29ea30	108800	rgb565
26	G	Z_POWERON24	320	170	0x2b9330	108800	rgb565
27	G	Z_POWERON25	320	170	0x2d3c30	108800	rgb565
28	G	Z_POWERON26	320	170	0x2ee530	108800	rgb565
29	G	Z_POWERON27	320	170	0x308e30	108800	rgb565
30	G	Z_POWERON28	320	170	0x323730	108800	rgb565
31	G	Z_POWERON29	320	170	0x33e030	108800	rgb565
32	G	Z_POWERON30	320	170	0x358930	108800	rgb565
33	G	Z_POWERON31	320	170	0x373230	108800	rgb565
34	G	Z_POWERON32	320	170	0x38db30	108800	rgb565
35	G	Z_POWERON33	320	170	0x3a8430	108800	rgb565
36	G	Z_POWERON34	320	170	0x3c2d30	108800	rgb565
37	G	Z_POWERON35	320	170	0x3dd630	108800	rgb565
38	G	Z_POWERON36	320	170	0x3f7f30	108800	rgb565
39	G	Z_POWERON37	320	170	0x412830	108800	rgb565
